participant,record_participant,trial_id,kata_id,treatment,execution_order,elapsed_seconds,censored,time_to_green_seconds,tests_total_x,tests_passing_x,tests_failing,success_rate,metrics_status,loc,cyclomatic_complexity_mean,cyclomatic_complexity_max,duplication_percentage,maintainability_index,messages,tests_passing_y,tests_total_y,fully_green
P01,guilhermeas04,P01-K01-AI,kata-01,with_ai,1,4.359,False,4.359,5,5,0,100.0,ok,32.0,13.0,13.0,0.0,51.239,,5,5,True
P01,guilhermeas04,P01-K02-MANUAL,kata-02,manual,2,0.143,False,0.143,5,5,0,100.0,ok,18.0,7.0,7.0,0.0,58.395,,5,5,True
P01,guilhermeas04,P01-K03-AI,kata-03,with_ai,3,0.135,False,0.135,5,5,0,100.0,ok,28.0,5.0,6.0,0.0,50.727,,5,5,True
P01,guilhermeas04,P01-K04-MANUAL,kata-04,manual,4,0.183,False,0.183,5,5,0,100.0,ok,43.0,22.0,22.0,0.0,42.33,,5,5,True
P01,guilhermeas04,P01-K05-MANUAL,kata-05,manual,5,0.283,False,0.283,5,5,0,100.0,ok,45.0,23.0,23.0,0.0,44.439,,5,5,True
P01,guilhermeas04,P01-K06-AI,kata-06,with_ai,6,0.183,False,0.183,5,5,0,100.0,ok,21.0,6.0,8.0,0.0,53.807,,5,5,True
P02,pedrorodriguesduarte,P02-K03-MANUAL,kata-03,manual,1,487.28,False,487.28,5,5,0,100.0,ok,25.0,16.0,16.0,0.0,50.709,,5,5,True
P02,pedrorodriguesduarte,P02-K04-AI,kata-04,with_ai,2,48.279,False,48.279,5,5,0,100.0,ok,39.0,22.0,22.0,0.0,43.633,,5,5,True
P02,pedrorodriguesduarte,P02-K05-MANUAL,kata-05,manual,3,322.484,False,322.484,5,5,0,100.0,ok,47.0,27.0,27.0,0.0,44.245,,5,5,True
P02,pedrorodriguesduarte,P02-K06-AI,kata-06,with_ai,4,30.063,False,30.063,5,5,0,100.0,ok,23.0,6.0,8.0,0.0,53.807,,5,5,True
P02,pedrorodriguesduarte,P02-K01-AI,kata-01,with_ai,5,308.704,False,308.704,5,5,0,100.0,ok,34.0,15.0,15.0,0.0,50.708,,5,5,True
P02,pedrorodriguesduarte,P02-K02-MANUAL,kata-02,manual,6,24.712,False,24.712,5,5,0,100.0,ok,13.0,6.0,6.0,0.0,63.127,,5,5,True
P03,P03,P03-K05-AI,kata-05,with_ai,1,27.041,False,27.041,5,5,0,100.0,ok,40.0,25.0,25.0,0.0,47.407,,5,5,True
P03,P03,P03-K06-MANUAL,kata-06,manual,2,26.657,False,26.657,5,5,0,100.0,ok,25.0,14.0,14.0,0.0,50.874,,5,5,True
P03,P03,P03-K01-MANUAL,kata-01,manual,3,16.681,False,16.681,5,5,0,100.0,ok,24.0,14.0,14.0,0.0,53.266,,5,5,True
P03,P03,P03-K02-AI,kata-02,with_ai,4,15.161,False,15.161,5,5,0,100.0,ok,12.0,6.0,6.0,0.0,63.438,,5,5,True
P03,P03,P03-K03-MANUAL,kata-03,manual,5,428.256,False,428.256,5,5,0,100.0,ok,19.0,11.0,11.0,0.0,56.138,,5,5,True
P03,P03,P03-K04-AI,kata-04,with_ai,6,18.073,False,18.073,5,5,0,100.0,ok,33.0,19.0,19.0,0.0,49.761,,5,5,True
